classifying bobcat jpgs...
possum (score = 0.74823) | filename: Cam3_EK000012.JPG
nothing (score = 0.97404) | filename: Cam3_EK001593.JPG
squirrel (score = 0.58987) | filename: Cam4_EK001708.JPG
nothing (score = 0.91388) | filename: Cam3_EK001543.JPG
nothing (score = 0.98766) | filename: Cam3_EK001579.JPG
nothing (score = 0.95973) | filename: Cam3_EK001459.JPG
nothing (score = 0.74273) | filename: Cam3_EK001336.JPG
nothing (score = 0.49185) | filename: Cam3_EK001234.JPG
nothing (score = 0.99628) | filename: Cam3_EK001594.JPG
nothing (score = 0.77592) | filename: Cam3_EK001510.JPG
nothing (score = 0.90397) | filename: Cam4_EK001971.JPG
nothing (score = 0.92569) | filename: Cam3_EK001388.JPG
squirrel (score = 0.74950) | filename: Cam4_EK001214.JPG
classifying possum jpgs...
possum (score = 0.96036) | filename: Cam3_EK000275.JPG
possum (score = 0.88630) | filename: Cam3_EK000152.JPG
possum (score = 0.95920) | filename: Cam3_EK000264.JPG
possum (score = 0.94310) | filename: Cam3_EK000276.JPG
possum (score = 0.91540) | filename: Cam3_EK000010.JPG
possum (score = 0.98176) | filename: Cam3_EK000118.JPG
possum (score = 0.90234) | filename: Cam3_EK000151.JPG
possum (score = 0.95930) | filename: Cam3_EK000129.JPG
possum (score = 0.94569) | filename: Cam3_EK000011.JPG
possum (score = 0.95888) | filename: Cam3_EK000262.JPG
possum (score = 0.83300) | filename: Cam3_EK000153.JPG
possum (score = 0.86829) | filename: Cam3_EK000277.JPG
possum (score = 0.83559) | filename: Cam3_EK000279.JPG
possum (score = 0.98658) | filename: Cam3_EK000127.JPG
possum (score = 0.83312) | filename: Cam3_EK000278.JPG
possum (score = 0.97086) | filename: Cam3_EK000163.JPG
possum (score = 0.96810) | filename: Cam3_EK000128.JPG
possum (score = 0.95313) | filename: Cam3_EK000120.JPG
possum (score = 0.97390) | filename: Cam3_EK000013.JPG
possum (score = 0.95576) | filename: Cam3_EK000015.JPG
possum (score = 0.92306) | filename: Cam3_EK000263.JPG
possum (score = 0.96299) | filename: Cam3_EK000014.JPG
possum (score = 0.96508) | filename: Cam3_EK000016.JPG
possum (score = 0.95519) | filename: Cam3_EK000119.JPG
possum (score = 0.84268) | filename: Cam3_EK000012.JPG
possum (score = 0.95609) | filename: Cam3_EK000017.JPG
classifying skunk jpgs...
skunk (score = 0.95138) | filename: Cam4_EK001857.JPG
skunk (score = 0.99241) | filename: Cam4_EK001811.JPG
skunk (score = 0.99364) | filename: Cam4_EK001883.JPG
skunk (score = 0.99090) | filename: Cam4_EK001812.JPG
skunk (score = 0.93995) | filename: Cam4_EK001611.JPG
skunk (score = 0.99246) | filename: Cam4_EK001790.JPG
skunk (score = 0.89561) | filename: Cam3_EK000580.JPG
skunk (score = 0.88353) | filename: Cam3_EK000712.JPG
skunk (score = 0.99366) | filename: Cam3_EK000377.JPG
skunk (score = 0.99729) | filename: Cam3_EK000549.JPG
skunk (score = 0.98758) | filename: Cam4_EK001814.JPG
skunk (score = 0.98500) | filename: Cam4_EK001634.JPG
skunk (score = 0.99905) | filename: Cam3_EK000461.JPG
skunk (score = 0.98097) | filename: Cam3_EK000394.JPG
nothing (score = 0.38091) | filename: Cam4_EK001794.JPG
skunk (score = 0.64704) | filename: Cam4_EK001849.JPG
skunk (score = 0.95104) | filename: Cam4_EK001974.JPG
skunk (score = 0.97418) | filename: Cam4_EK001900.JPG
skunk (score = 0.98545) | filename: Cam4_EK001409.JPG
skunk (score = 0.99083) | filename: Cam4_EK001606.JPG
skunk (score = 0.99273) | filename: Cam3_EK000589.JPG
skunk (score = 0.86847) | filename: Cam4_EK001858.JPG
skunk (score = 0.95757) | filename: Cam4_EK001813.JPG
skunk (score = 0.97358) | filename: Cam4_EK001652.JPG
skunk (score = 0.99088) | filename: Cam3_EK000462.JPG
skunk (score = 0.96780) | filename: Cam3_EK001456.JPG
skunk (score = 0.99591) | filename: Cam4_EK001610.JPG
skunk (score = 0.93965) | filename: Cam4_EK001972.JPG
skunk (score = 0.90264) | filename: Cam3_EK001490.JPG
nothing (score = 0.60066) | filename: Cam4_EK001850.JPG
skunk (score = 0.99569) | filename: Cam3_EK000582.JPG
skunk (score = 0.99138) | filename: Cam3_EK001457.JPG
skunk (score = 0.99838) | filename: Cam4_EK001855.JPG
skunk (score = 0.69584) | filename: Cam3_EK000713.JPG
skunk (score = 0.93438) | filename: Cam4_EK001596.JPG
skunk (score = 0.84886) | filename: Cam4_EK001595.JPG
skunk (score = 0.99220) | filename: Cam4_EK001594.JPG
skunk (score = 0.97397) | filename: Cam4_EK001418.JPG
skunk (score = 0.97437) | filename: Cam3_EK001458.JPG
skunk (score = 0.99804) | filename: Cam3_EK000548.JPG
skunk (score = 0.98070) | filename: Cam4_EK001903.JPG
skunk (score = 0.98148) | filename: Cam4_EK001369.JPG
skunk (score = 0.97624) | filename: Cam3_EK000460.JPG
skunk (score = 0.99533) | filename: Cam4_EK001882.JPG
skunk (score = 0.42295) | filename: Cam3_EK000593.JPG
skunk (score = 0.95047) | filename: Cam4_EK001653.JPG
skunk (score = 0.86534) | filename: Cam3_EK001491.JPG
skunk (score = 0.90585) | filename: Cam3_EK000714.JPG
skunk (score = 0.99646) | filename: Cam4_EK001609.JPG
skunk (score = 0.96862) | filename: Cam4_EK001792.JPG
skunk (score = 0.93344) | filename: Cam3_EK000591.JPG
skunk (score = 0.98979) | filename: Cam4_EK001884.JPG
skunk (score = 0.38338) | filename: Cam4_EK001973.JPG
skunk (score = 0.94776) | filename: Cam3_EK000376.JPG
skunk (score = 0.99474) | filename: Cam4_EK001810.JPG
skunk (score = 0.99337) | filename: Cam4_EK001635.JPG
skunk (score = 0.83466) | filename: Cam4_EK001419.JPG
skunk (score = 0.96845) | filename: Cam4_EK001370.JPG
skunk (score = 0.72723) | filename: Cam4_EK001789.JPG
possum (score = 0.55459) | filename: Cam3_EK000594.JPG
classifying squirrel jpgs...
squirrel (score = 0.83807) | filename: Cam4_EK001546.JPG
squirrel (score = 0.98654) | filename: Cam4_EK001677.JPG
squirrel (score = 0.99050) | filename: Cam4_EK001613.JPG
squirrel (score = 0.68574) | filename: Cam4_EK001380.JPG
squirrel (score = 0.97009) | filename: Cam4_EK001232.JPG
squirrel (score = 0.93471) | filename: Cam3_EK000849.JPG
squirrel (score = 0.59553) | filename: Cam3_EK001394.JPG
squirrel (score = 0.95896) | filename: Cam3_EK000019.JPG
squirrel (score = 0.97282) | filename: Cam3_EK001230.JPG
nothing (score = 0.47766) | filename: Cam4_EK001482.JPG
squirrel (score = 0.57080) | filename: Cam3_EK000552.JPG
squirrel (score = 0.98716) | filename: Cam3_EK001231.JPG
squirrel (score = 0.97359) | filename: Cam3_EK000791.JPG
squirrel (score = 0.94207) | filename: Cam4_EK001283.JPG
squirrel (score = 0.98265) | filename: Cam3_EK000042.JPG
squirrel (score = 0.48565) | filename: Cam4_EK001623.JPG
